SMILES,INCHI,INCHI_KEY
CC(=O)CC(=O)c1ccco1,"InChI=1S/C8H8O3/c1-6(9)5-7(10)8-3-2-4-11-8/h2-4H,5H2,1H3",GPYKJDYMMUIUFG-UHFFFAOYSA-N
O=C1CCCCC1C(=O)C(F)(F)F,"InChI=1S/C8H9F3O2/c9-8(10,11)7(13)5-3-1-2-4-6(5)12/h5H,1-4H2",YDFLGIXUFCIELL-UHFFFAOYSA-N
COc1ccccc1C(=O)CC(C)=O,"InChI=1S/C11H12O3/c1-8(12)7-10(13)9-5-3-4-6-11(9)14-2/h3-6H,7H2,1-2H3",PJLODCSPQGTOTJ-UHFFFAOYSA-N
CC(=O)CC(C)=O,"InChI=1S/C5H8O2/c1-4(6)3-5(2)7/h3H2,1-2H3",YRKCREAYFQTBPV-UHFFFAOYSA-N
O=C(CC(=O)c1ccccc1)c1ccccc1,"InChI=1S/C15H12O2/c16-14(12-7-3-1-4-8-12)11-15(17)13-9-5-2-6-10-13/h1-10H,11H2",NZZIMKJIVMHWJC-UHFFFAOYSA-N
CC(C)(C)C(=O)CC(=O)C(C)(C)C,"InChI=1S/C11H20O2/c1-10(2,3)8(12)7-9(13)11(4,5)6/h7H2,1-6H3",YRAJNWYBUCUFBD-UHFFFAOYSA-N
O=C(CC(=O)C(F)(F)F)C(F)(F)F,"InChI=1S/C5H2F6O2/c6-4(7,8)2(12)1-3(13)5(9,10)11/h1H2",QAMFBRUWYYMMGJ-UHFFFAOYSA-N
CC(=O)C(C)C(C)=O,"InChI=1S/C6H10O2/c1-4(5(2)7)6(3)8/h4H,1-3H3",GSOHKPVFCOWKPU-UHFFFAOYSA-N
O=C(CC(=O)C(F)(F)F)c1ccccc1,"InChI=1S/C10H7F3O2/c11-10(12,13)9(15)6-8(14)7-4-2-1-3-5-7/h1-5H,6H2",VVXLFFIFNVKFBD-UHFFFAOYSA-N
CC(C)(C)C(=O)CC(=O)C(F)(F)F,"InChI=1S/C8H11F3O2/c1-7(2,3)5(12)4-6(13)8(9,10)11/h4H2,1-3H3",BVPKYBMUQDZTJH-UHFFFAOYSA-N
CC(=O)C1CCCCC1=O,"InChI=1S/C8H12O2/c1-6(9)7-4-2-3-5-8(7)10/h7H,2-5H2,1H3",OEKATORRSPXJHE-UHFFFAOYSA-N
Cc1ccccc1C(=O)CC(=O)c1ccccc1C,"InChI=1S/C17H16O2/c1-12-7-3-5-9-14(12)16(18)11-17(19)15-10-6-4-8-13(15)2/h3-10H,11H2,1-2H3",ATKAXTJKEOYCOI-UHFFFAOYSA-N
O=C(CC(=O)C(F)(F)F)c1ccc(Cl)cc1Cl,"InChI=1S/C10H5Cl2F3O2/c11-5-1-2-6(7(12)3-5)8(16)4-9(17)10(13,14)15/h1-3H,4H2",MFGWGSLMYPLKRX-UHFFFAOYSA-N
CC(=O)CC(=O)N(C)C,"InChI=1S/C6H11NO2/c1-5(8)4-6(9)7(2)3/h4H2,1-3H3",YPEWWOUWRRQBAX-UHFFFAOYSA-N
CN(C)C(=O)CC(=O)N(C)C,"InChI=1S/C7H14N2O2/c1-8(2)6(10)5-7(11)9(3)4/h5H2,1-4H3",AOXCXILUIVQCHH-UHFFFAOYSA-N
CC(=O)C(C(C)=O)c1ccccc1,"InChI=1S/C11H12O2/c1-8(12)11(9(2)13)10-6-4-3-5-7-10/h3-7,11H,1-2H3",YIWTXSVNRCWBAC-UHFFFAOYSA-N
COC(=O)C(=O)CC(=O)c1ccc(C)cc1,"InChI=1S/C12H12O4/c1-8-3-5-9(6-4-8)10(13)7-11(14)12(15)16-2/h3-6H,7H2,1-2H3",AINBBVVRYVUFOK-UHFFFAOYSA-N
CCOC(=O)C(=O)CC(=O)c1ccc(OC)cc1,"InChI=1S/C13H14O5/c1-3-18-13(16)12(15)8-11(14)9-4-6-10(17-2)7-5-9/h4-7H,3,8H2,1-2H3",JHWYUCIVJQZDEF-UHFFFAOYSA-N
