SMILES,INCHI,INCHI_KEY
c1ccc(-c2cc3ccccc3[nH]2)cc1,"InChI=1S/C14H11N/c1-2-6-11(7-3-1)14-10-12-8-4-5-9-13(12)15-14/h1-10,15H",KLLLJCACIRKBDT-UHFFFAOYSA-N
Cc1ccc(-c2[c]c3[c][c][c][c]c3[nH]2)cc1,"InChI=1S/C15H8N/c1-11-6-8-12(9-7-11)15-10-13-4-2-3-5-14(13)16-15/h6-9,16H,1H3",RKWCTGZQLAGHRQ-UHFFFAOYSA-N
c1ccc2c(c1)Cn1c-2cc2ccccc21,"InChI=1S/C15H11N/c1-3-7-13-12(6-1)10-16-14-8-4-2-5-11(14)9-15(13)16/h1-9H,10H2",JJUQRPHMJPHFBH-UHFFFAOYSA-N
Cn1c(-c2ccccc2)cc2ccccc21,"InChI=1S/C15H13N/c1-16-14-10-6-5-9-13(14)11-15(16)12-7-3-2-4-8-12/h2-11H,1H3",SFWZZSXCWQTORH-UHFFFAOYSA-N
Cc1ccc2cc(-c3ccccc3)[nH]c2c1,"InChI=1S/C15H13N/c1-11-7-8-13-10-15(16-14(13)9-11)12-5-3-2-4-6-12/h2-10,16H,1H3",WHOVJSPCXWJPBL-UHFFFAOYSA-N
Cc1ccc(-c2cc3ccccc3[nH]2)cc1,"InChI=1S/C15H13N/c1-11-6-8-12(9-7-11)15-10-13-4-2-3-5-14(13)16-15/h2-10,16H,1H3",VPXGIHGJJJBJFP-UHFFFAOYSA-N
Cc1c(-c2ccccc2)[nH]c2ccccc12,"InChI=1S/C15H13N/c1-11-13-9-5-6-10-14(13)16-15(11)12-7-3-2-4-8-12/h2-10,16H,1H3",KYAXCYQVBBQQHB-UHFFFAOYSA-N
Cc1ccc2[nH]c(-c3ccccc3)cc2c1,"InChI=1S/C15H13N/c1-11-7-8-14-13(9-11)10-15(16-14)12-5-3-2-4-6-12/h2-10,16H,1H3",JPFTUUXPCFNLIX-UHFFFAOYSA-N
Cc1cccc2cc(-c3ccccc3)[nH]c12,"InChI=1S/C15H13N/c1-11-6-5-9-13-10-14(16-15(11)13)12-7-3-2-4-8-12/h2-10,16H,1H3",APHLLJOCDFBTGO-UHFFFAOYSA-N
Cc1cccc(-c2cc3ccccc3[nH]2)c1,"InChI=1S/C15H13N/c1-11-5-4-7-12(9-11)15-10-13-6-2-3-8-14(13)16-15/h2-10,16H,1H3",FDMNCWSEDSYGND-UHFFFAOYSA-N
Cc1cccc2[nH]c(-c3ccccc3)cc12,"InChI=1S/C15H13N/c1-11-6-5-9-14-13(11)10-15(16-14)12-7-3-2-4-8-12/h2-10,16H,1H3",GBGAYLXUBDCFIL-UHFFFAOYSA-N
Cc1ccccc1-c1cc2ccccc2[nH]1,"InChI=1S/C15H13N/c1-11-6-2-4-8-13(11)15-10-12-7-3-5-9-14(12)16-15/h2-10,16H,1H3",SUNOPHTUNNAFGB-UHFFFAOYSA-N
Nc1ccccc1-c1cc2ccccc2[nH]1,"InChI=1S/C14H12N2/c15-12-7-3-2-6-11(12)14-9-10-5-1-4-8-13(10)16-14/h1-9,16H,15H2",IAKRGXQCKYFJCB-UHFFFAOYSA-N
Nc1ccc(-c2cc3ccccc3[nH]2)cc1,"InChI=1S/C14H12N2/c15-12-7-5-10(6-8-12)14-9-11-3-1-2-4-13(11)16-14/h1-9,16H,15H2",BBYJHUAEFSHMHU-UHFFFAOYSA-N
Nc1c(-c2ccccc2)[nH]c2ccccc12,"InChI=1S/C14H12N2/c15-13-11-8-4-5-9-12(11)16-14(13)10-6-2-1-3-7-10/h1-9,16H,15H2",XGKAJJZDQGRYJI-UHFFFAOYSA-N
Nc1cccc(-c2cc3ccccc3[nH]2)c1,"InChI=1S/C14H12N2/c15-12-6-3-5-10(8-12)14-9-11-4-1-2-7-13(11)16-14/h1-9,16H,15H2",KMPALQUHKFNPAB-UHFFFAOYSA-N
Nc1ccc2[nH]c(-c3ccccc3)cc2c1,"InChI=1S/C14H12N2/c15-12-6-7-13-11(8-12)9-14(16-13)10-4-2-1-3-5-10/h1-9,16H,15H2",BQXQPVNUVFCTJS-UHFFFAOYSA-N
Nc1ccc2cc(-c3ccccc3)[nH]c2c1,"InChI=1S/C14H12N2/c15-12-7-6-11-8-13(16-14(11)9-12)10-4-2-1-3-5-10/h1-9,16H,15H2",CRWOEVRPNSBRPX-UHFFFAOYSA-N
Oc1ccc(-c2cc3ccccc3[nH]2)cc1,"InChI=1S/C14H11NO/c16-12-7-5-10(6-8-12)14-9-11-3-1-2-4-13(11)15-14/h1-9,15-16H",BQWAJIFVKAXHCO-UHFFFAOYSA-N
