SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,HAS_PYRADINONE,INCHI,INCHI_KEY
CC(=O)N1CCCCC1c1c[nH]c(=S)c(C)c1,3.126110000000001,1,2,3,36.1,35,70.34270000000004,True,False,False,False,250.36700000000016,False,False,False,"InChI=1S/C13H18N2OS/c1-9-7-11(8-14-13(9)17)12-5-3-4-6-15(12)10(2)16/h7-8,12H,3-6H2,1-2H3,(H,14,17)",XCQJRAQGIDMWIJ-UHFFFAOYSA-N
CCOC(=O)c1cnc2cc(Br)ccc2c1O,2.8796000000000013,1,4,4,59.42,27,67.06430000000002,True,False,False,False,296.11999999999983,False,False,False,"InChI=1S/C12H10BrNO3/c1-2-17-12(16)9-6-14-10-5-7(13)3-4-8(10)11(9)15/h3-6H,2H2,1H3,(H,14,15)",WJFBKTAITAHHAR-UHFFFAOYSA-N
Cc1n[nH]c2c1C(c1cccnc1)C(C#N)=C(N)O2,1.3313,2,5,3,100.61,30,66.85910000000001,True,False,False,False,253.26500000000007,False,False,False,"InChI=1S/C13H11N5O/c1-7-10-11(8-3-2-4-16-6-8)9(5-14)12(15)19-13(10)18-17-7/h2-4,6,11H,15H2,1H3,(H,17,18)",VYGIWUNRWYXGJY-UHFFFAOYSA-N
COC(=O)c1cc(=O)c2cc(C(C)(C)C)ccc2[nH]1,2.6122000000000005,1,3,2,59.16,36,74.60820000000002,True,False,False,False,259.305,False,False,False,"InChI=1S/C15H17NO3/c1-15(2,3)9-5-6-11-10(7-9)13(17)8-12(16-11)14(18)19-4/h5-8H,1-4H3,(H,16,17)",DBWGCTPAMOGCEU-UHFFFAOYSA-N
Cc1cc(S)ncc1C1CCCN1C(=O)OC(C)(C)C,3.750720000000002,1,4,3,42.43000000000001,42,81.14100000000005,True,False,False,False,294.4199999999996,False,False,False,"InChI=1S/C15H22N2O2S/c1-10-8-13(20)16-9-11(10)12-6-5-7-17(12)14(18)19-15(2,3)4/h8-9,12H,5-7H2,1-4H3,(H,16,20)",GBFGZFGPVLICBT-UHFFFAOYSA-N
Cc1cc(O)c2cccc(C(F)(F)F)c2n1,3.267620000000001,1,2,2,33.120000000000005,24,53.146800000000006,True,False,False,False,227.18500000000003,False,False,False,"InChI=1S/C11H8F3NO/c1-6-5-9(16)7-3-2-4-8(10(7)15-6)11(12,13)14/h2-5H,1H3,(H,15,16)",OTMHQQLVOKHQTM-UHFFFAOYSA-N
O=C(O)c1c[nH]c2ccc(F)cc2c1=O,1.3653999999999995,2,3,1,70.16,21,51.48600000000001,True,False,False,False,207.16000000000005,False,False,False,"InChI=1S/C10H6FNO3/c11-5-1-2-8-6(3-5)9(13)7(4-12-8)10(14)15/h1-4H,(H,12,13)(H,14,15)",KCEJQAATYWQMMQ-UHFFFAOYSA-N
Cc1nccc(O)c1OCc1ccccc1,2.674620000000001,1,3,5,42.35000000000001,29,61.41280000000003,True,False,False,False,215.25200000000007,False,False,False,"InChI=1S/C13H13NO2/c1-10-13(12(15)7-8-14-10)16-9-11-5-3-2-4-6-11/h2-8H,9H2,1H3,(H,14,15)",WBKGCSWOAILTET-UHFFFAOYSA-N
Cc1cc(C2CCCN2C(=O)OC(C)(C)C)c[nH]c1=S,4.124610000000003,1,3,2,45.33,42,81.27870000000004,True,False,False,False,294.4199999999996,False,False,False,"InChI=1S/C15H22N2O2S/c1-10-8-11(9-16-13(10)20)12-6-5-7-17(12)14(18)19-15(2,3)4/h8-9,12H,5-7H2,1-4H3,(H,16,20)",DBVBFTOTSIKYSA-UHFFFAOYSA-N
COC(=O)c1cc(O)c2cc(NC(C)=O)ccc2n1,1.6853999999999998,2,5,5,88.52,31,69.05100000000002,True,False,False,False,260.249,False,False,False,"InChI=1S/C13H12N2O4/c1-7(16)14-8-3-4-10-9(5-8)12(17)6-11(15-10)13(18)19-2/h3-6H,1-2H3,(H,14,16)(H,15,17)",JNZLYYAFMTXECK-UHFFFAOYSA-N
CCc1nc(-c2ccccn2)n[nH]1,1.4290999999999998,1,3,3,54.46,23,48.991700000000016,True,False,False,False,174.20700000000008,False,False,False,"InChI=1S/C9H10N4/c1-2-8-11-9(13-12-8)7-5-3-4-6-10-7/h3-6H,2H2,1H3,(H,11,12,13)",PIIHLXOKGSHOFE-UHFFFAOYSA-N
Cc1cc(CCO)cnc1S,1.21352,2,3,5,33.120000000000005,22,47.01580000000003,True,False,False,False,169.24900000000008,False,False,False,"InChI=1S/C8H11NOS/c1-6-4-7(2-3-10)5-9-8(6)11/h4-5,10H,2-3H2,1H3,(H,9,11)",KSZISDBIKXZZEP-UHFFFAOYSA-N
Cc1cc(C(N)c2ccccc2)c[nH]c1=S,3.100710000000001,2,2,4,41.81,30,68.83610000000003,True,False,False,False,230.33600000000013,False,False,False,"InChI=1S/C13H14N2S/c1-9-7-11(8-15-13(9)16)12(14)10-5-3-2-4-6-10/h2-8,12H,14H2,1H3,(H,15,16)",UIHKFRSIWUQTAG-UHFFFAOYSA-N
Cc1nc2nccc(C)c2[nH]1,1.5747399999999998,1,2,2,41.57,20,43.36270000000002,True,False,False,False,147.18100000000007,False,False,False,"InChI=1S/C8H9N3/c1-5-3-4-9-8-7(5)10-6(2)11-8/h3-4H,1-2H3,(H,9,10,11)",KLRKPOJJEMOZLD-UHFFFAOYSA-N
CCOC(=O)c1ccc2[nH]c(C)cc(=O)c2c1,2.01322,1,3,4,59.16,30,65.26220000000002,True,False,False,False,231.2510000000001,False,False,False,"InChI=1S/C13H13NO3/c1-3-17-13(16)9-4-5-11-10(7-9)12(15)6-8(2)14-11/h4-7H,3H2,1-2H3,(H,14,15)",ZBJWZYUUWDUKMK-UHFFFAOYSA-N
Cc1cc(=O)c2cc(N(C)C)ccc2[nH]1,1.90252,1,2,4,36.1,29,63.63270000000003,True,False,False,False,202.2570000000001,False,False,False,"InChI=1S/C12H14N2O/c1-8-6-12(15)10-7-9(14(2)3)4-5-11(10)13-8/h4-7H,1-3H3,(H,13,15)",XAWXYXWRJBIQPZ-UHFFFAOYSA-N
O=C(O)c1c[nH]c2cc3c(cc2c1=O)OCCO3,0.9974999999999996,2,5,1,88.62,27,62.51800000000002,True,False,False,False,247.20600000000005,False,False,False,"InChI=1S/C12H9NO5/c14-11-6-3-9-10(18-2-1-17-9)4-8(6)13-5-7(11)12(15)16/h3-5H,1-2H2,(H,13,14)(H,15,16)",MHIFATZXRQSTSN-UHFFFAOYSA-N
Nc1ccc(-c2nnc(-c3cccnc3)[nH]2)cc1,2.1159,2,4,3,80.47999999999999,29,69.4621,True,False,False,False,237.26600000000008,False,False,False,"InChI=1S/C13H11N5/c14-11-5-3-9(4-6-11)12-16-13(18-17-12)10-2-1-7-15-8-10/h1-8H,14H2,(H,16,17,18)",CGKIQMWBWXMWGV-UHFFFAOYSA-N
