SMILES,INCHI,INCHI_KEY,CID,VENDORS
c1ccc(-c2cc3ccccc3[nH]2)cc1,"InChI=1S/C14H11N/c1-2-6-11(7-3-1)14-10-12-8-4-5-9-13(12)15-14/h1-10,15H",KLLLJCACIRKBDT-UHFFFAOYSA-N,13698,"['MuseChem', 'Aurora Fine Chemicals LLC', 'Wutech', 'R&D Chemicals', 'TimTec', 'Biosynth', 'Chemieliva Pharmaceutical Co., Ltd', 'VWR, Part of Avantor', 'AN PharmaTech', 'Molepedia', 'CymitQuimica', 'Wilshire Technologies', 'Wubei-Biochem', 'Hangzhou Trylead Chemical Technology', 'Founder Pharma', 'Achemo Scientific Limited', 'Key Organics/BIONET', 'AA BLOCKS', 'Glentham Life Sciences Ltd.', 'Ambeed', 'THE BioTek', '3B Scientific (Wuhan) Corp', 'Smolecule', 'Sinfoo Biotech', 'Santa Cruz Biotechnology, Inc.', 'MolCore BioPharmatech', 'Chembase.cn', 'ISpharm', 'Mcule', 'Anward', 'Aaron Chemicals LLC', 'Alichem', 'Tractus', 'Alfa Chemistry', 'Synthonix, Inc.', 'Thermo Fisher Scientific', 'Innovapharm', 'Apexmol', 'Thoreauchem', 'NovoSeek', 'BOC Sciences', 'Amadis Chemical', 'iChemical Technology USA Inc', 'Ark Pharm, Inc.', 'J&H Chemical Co.,ltd', 'Achemtek', 'A&J Pharmtech CO., LTD.', 'ChemDiv', 'Aromalake Chemical', 'Enamine', 'Achemica', 'Biocore', 'King Scientific', '001Chemical', 'AEchem Scientific Corp., USA', 'Aurum Pharmatech LLC', 'TCI (Tokyo Chemical Industry)', 'Hairui Chemical', 'OXCHEM CORPORATION', 'A2B Chem', 'LabNetwork, a WuXi AppTec Company', 'eNovation Chemicals', 'DSL Chemicals', 'Oakwood Products', 'ChemExper Chemical Directory', 'ZINC', 'Angene Chemical', 'Accela ChemBio Inc.', 'OtavaChemicals', 'Bic Biotech', 'BLD Pharm', 'AKos Consulting & Solutions', 'ACT Chemical', 'Ambinter', 'Yuhao Chemical', 'VladaChem', 'LEAPCHEM', 'ABI Chem', 'AstaTech, Inc.', 'Pi Chemicals', 'Cooke Chemical Co., Ltd', 'Combi-Blocks', 'Debye Scientific Co., Ltd', 'AK Scientific, Inc. (AKSCI)', 'Starshine Chemical', 'Sigma-Aldrich', 'ChemBlock', 'Life Chemicals', 'MolPort', 'BenchChem', 'Chem-Space.com Database', 'Hangzhou APIChem Technology', 'Day Biochem', 'Matrix Scientific', 'ChemMol', 'BePharm Ltd.', '3WAY PHARM INC', 'RR Scientific', 'Lan Pharmatech', 'Yick-Vic Chemicals & Pharmaceuticals (HK) Ltd.', 'CAPOT', 'Vitas-M Laboratory', 'AHH Chemical co.,ltd', 'abcr GmbH', 'Acadechem', 'Chemenu Inc.', 'AbaChemScene', 'Specs', 'Finetech Industry Limited', 'Phion Ltd', 'Syntree']"
c1ccc2c(c1)Cn1c-2cc2ccccc21,"InChI=1S/C15H11N/c1-3-7-13-12(6-1)10-16-14-8-4-2-5-11(14)9-15(13)16/h1-9H,10H2",JJUQRPHMJPHFBH-UHFFFAOYSA-N,13207630,"['Ambeed', 'BLD Pharm', 'AstaTech, Inc.', 'eNovation Chemicals', 'A2B Chem', 'Combi-Blocks', 'MolPort', 'Chemieliva Pharmaceutical Co., Ltd', 'Key Organics/BIONET', 'AA BLOCKS']"
Cn1c(-c2ccccc2)cc2ccccc21,"InChI=1S/C15H13N/c1-16-14-10-6-5-9-13(14)11-15(16)12-7-3-2-4-8-12/h2-11H,1H3",SFWZZSXCWQTORH-UHFFFAOYSA-N,77095,"['MuseChem', 'Wutech', 'TimTec', 'Biosynth', 'Chemieliva Pharmaceutical Co., Ltd', 'BroadPharm', 'Molepedia', 'CymitQuimica', 'Wubei-Biochem', 'Founder Pharma', 'Achemo Scientific Limited', 'Key Organics/BIONET', 'AA BLOCKS', 'Ambeed', 'Wolves R&D chemical', 'THE BioTek', '3B Scientific (Wuhan) Corp', 'Smolecule', 'Sinfoo Biotech', 'Santa Cruz Biotechnology, Inc.', 'MolCore BioPharmatech', 'AAA Chemistry', 'ISpharm', 'Chembase.cn', 'Mcule', 'Anward', 'Aaron Chemicals LLC', 'Alichem', 'Tractus', 'Alfa Chemistry', 'Thermo Fisher Scientific', 'Apexmol', 'Thoreauchem', 'BOC Sciences', 'NovoSeek', 'Amadis Chemical', 'iChemical Technology USA Inc', 'J&H Chemical Co.,ltd', 'Achemtek', 'A&J Pharmtech CO., LTD.', 'Aromalake Chemical', 'Enamine', 'Achemica', 'Biocore', 'King Scientific', '001Chemical', 'Aurum Pharmatech LLC', 'TCI (Tokyo Chemical Industry)', 'Hairui Chemical', 'OXCHEM CORPORATION', 'A2B Chem', 'eNovation Chemicals', 'LabNetwork, a WuXi AppTec Company', 'DSL Chemicals', 'Activate Scientific', 'Oakwood Products', 'ChemExper Chemical Directory', 'ZINC', 'Angene Chemical', 'Accela ChemBio Inc.', 'Bic Biotech', 'BLD Pharm', 'AKos Consulting & Solutions', 'Yuhao Chemical', 'Ambinter', 'VladaChem', 'LEAPCHEM', 'ABI Chem', 'AstaTech, Inc.', 'Pi Chemicals', 'Combi-Blocks', 'Cooke Chemical Co., Ltd', 'Debye Scientific Co., Ltd', 'AK Scientific, Inc. (AKSCI)', 'Starshine Chemical', 'Sigma-Aldrich', 'MolPort', 'BenchChem', 'Chem-Space.com Database', 'Hangzhou APIChem Technology', 'Day Biochem', 'ChemMol', '3WAY PHARM INC', 'BePharm Ltd.', 'Lan Pharmatech', 'Yick-Vic Chemicals & Pharmaceuticals (HK) Ltd.', 'CAPOT', 'Vitas-M Laboratory', 'AHH Chemical co.,ltd', 'abcr GmbH', 'Acadechem', 'Chemenu Inc.', 'AbaChemScene', 'Specs', 'Finetech Industry Limited', 'Syntree']"
Cc1ccc2cc(-c3ccccc3)[nH]c2c1,"InChI=1S/C15H13N/c1-11-7-8-13-10-15(16-14(13)9-11)12-5-3-2-4-6-12/h2-10,16H,1H3",WHOVJSPCXWJPBL-UHFFFAOYSA-N,261513,"['Alfa Chemistry', 'Starshine Chemical', 'Aurora Fine Chemicals LLC', 'Chemhere', 'OXCHEM CORPORATION', 'A2B Chem', 'LabNetwork, a WuXi AppTec Company', 'eNovation Chemicals', 'TimTec', 'BOC Sciences', 'ChemBlock', 'MolPort', 'Chemieliva Pharmaceutical Co., Ltd', 'BenchChem', 'Activate Scientific', 'CymitQuimica', 'iChemical Technology USA Inc', 'Chem-Space.com Database', 'J&H Chemical Co.,ltd', 'ChemDiv', 'A&J Pharmtech CO., LTD.', 'ZINC', 'Synblock Inc', 'Day Biochem', 'Key Organics/BIONET', 'AA BLOCKS', 'J&W PharmLab', 'Bic Biotech', 'Ambeed', 'BLD Pharm', 'ChemMol', '3WAY PHARM INC', 'BePharm Ltd.', 'Lan Pharmatech', 'AKos Consulting & Solutions', 'ChemBridge', 'labseeker', 'RR Scientific', 'THE BioTek', '3B Scientific (Wuhan) Corp', 'Smolecule', '001Chemical', 'Vitas-M Laboratory', 'Ark Pharma Scientific Limited', 'abcr GmbH', 'Ambinter', 'AAA Chemistry', 'Chemenu Inc.', 'AbaChemScene', 'ABI Chem', 'Mcule', 'AstaTech, Inc.', 'ChemTik', 'Hoffman Fine Chemicals', 'Combi-Blocks', 'Aaron Chemicals LLC', 'Alichem', 'Finetech Industry Limited', 'Debye Scientific Co., Ltd']"
Cc1ccc(-c2cc3ccccc3[nH]2)cc1,"InChI=1S/C15H13N/c1-11-6-8-12(9-7-11)15-10-13-4-2-3-5-14(13)16-15/h2-10,16H,1H3",VPXGIHGJJJBJFP-UHFFFAOYSA-N,292599,"['MuseChem', 'Angel Pharmatech Ltd.', 'Alfa Chemistry', 'Starshine Chemical', 'Aurora Fine Chemicals LLC', 'A2B Chem', 'Thoreauchem', 'Amadis Chemical', 'MolPort', 'Chemieliva Pharmaceutical Co., Ltd', 'BenchChem', 'CymitQuimica', 'Chem-Space.com Database', 'ChemDiv', 'J&H Chemical Co.,ltd', 'ZINC', 'Key Organics/BIONET', 'AA BLOCKS', 'Bic Biotech', 'Matrix Scientific', 'ChemMol', 'Ambeed', 'BLD Pharm', '3WAY PHARM INC', 'Lan Pharmatech', 'AKos Consulting & Solutions', 'labseeker', 'ChemBridge', 'RR Scientific', 'THE BioTek', '001Chemical', 'Debye Scientific Co., Ltd', 'Vitas-M Laboratory', 'Smolecule', 'AHH Chemical co.,ltd', 'abcr GmbH', 'Ambinter', 'AAA Chemistry', 'Chemenu Inc.', 'AbaChemScene', 'Chembase.cn', 'LEAPCHEM', 'ABI Chem', 'Mcule', 'AstaTech, Inc.', 'ChemTik', 'Hoffman Fine Chemicals', 'Combi-Blocks', 'Aurum Pharmatech LLC', 'Specs', 'Alichem', 'Finetech Industry Limited', 'TCI (Tokyo Chemical Industry)']"
Cc1c(-c2ccccc2)[nH]c2ccccc12,"InChI=1S/C15H13N/c1-11-13-9-5-6-10-14(13)16-15(11)12-7-3-2-4-8-12/h2-10,16H,1H3",KYAXCYQVBBQQHB-UHFFFAOYSA-N,258555,"['MuseChem', 'Alfa Chemistry', 'Starshine Chemical', 'A2B Chem', 'LabNetwork, a WuXi AppTec Company', 'Apexmol', 'MolMall', 'BOC Sciences', 'MolPort', 'Amadis Chemical', 'Chemieliva Pharmaceutical Co., Ltd', 'BenchChem', 'Chem-Space.com Database', 'ChemExper Chemical Directory', 'J&H Chemical Co.,ltd', 'ZINC', 'Day Biochem', 'AA BLOCKS', 'BLD Pharm', 'Lan Pharmatech', 'AKos Consulting & Solutions', 'THE BioTek', 'Smolecule', '001Chemical', 'Vitas-M Laboratory', 'AAA Chemistry', 'Chemenu Inc.', 'ABI Chem', 'Mcule', 'AstaTech, Inc.', 'ChemTik']"
Cc1ccc2[nH]c(-c3ccccc3)cc2c1,"InChI=1S/C15H13N/c1-11-7-8-14-13(9-11)10-15(16-14)12-5-3-2-4-6-12/h2-10,16H,1H3",JPFTUUXPCFNLIX-UHFFFAOYSA-N,83247,"['MuseChem', 'Alfa Chemistry', 'Starshine Chemical', 'Aurora Fine Chemicals LLC', 'Chemhere', 'Sigma-Aldrich', 'A2B Chem', 'OXCHEM CORPORATION', 'TimTec', 'BOC Sciences', 'ChemBlock', 'MolPort', 'Amadis Chemical', 'Chemieliva Pharmaceutical Co., Ltd', 'BenchChem', 'Vesino Industrial Co., Ltd', 'CymitQuimica', 'Chem-Space.com Database', 'J&H Chemical Co.,ltd', 'ChemDiv', 'A&J Pharmtech CO., LTD.', 'ZINC', 'Day Biochem', 'AA BLOCKS', 'Bic Biotech', 'Ambeed', 'BLD Pharm', 'BePharm Ltd.', '3WAY PHARM INC', 'RR Scientific', 'ChemBridge', 'Lan Pharmatech', 'labseeker', 'AKos Consulting & Solutions', 'THE BioTek', '3B Scientific (Wuhan) Corp', '001Chemical', 'Smolecule', 'Vitas-M Laboratory', 'AHH Chemical co.,ltd', 'abcr GmbH', 'Ambinter', 'AAA Chemistry', 'Chemenu Inc.', 'AbaChemScene', 'Chembase.cn', 'ABI Chem', 'Mcule', 'ChemTik', 'Pi Chemicals', 'Hoffman Fine Chemicals', 'Alichem', 'Finetech Industry Limited', 'Debye Scientific Co., Ltd']"
Cc1cccc2cc(-c3ccccc3)[nH]c12,"InChI=1S/C15H13N/c1-11-6-5-9-13-10-14(16-15(11)13)12-7-3-2-4-8-12/h2-10,16H,1H3",APHLLJOCDFBTGO-UHFFFAOYSA-N,11499439,"['MuseChem', 'Aurora Fine Chemicals LLC', 'OXCHEM CORPORATION', 'A2B Chem', 'MolPort', 'Chemieliva Pharmaceutical Co., Ltd', 'BenchChem', 'Wubei-Biochem', 'ZINC', 'Day Biochem', 'AA BLOCKS', 'Bic Biotech', 'Ambeed', 'BLD Pharm', 'BePharm Ltd.', 'Lan Pharmatech', 'labseeker', 'AKos Consulting & Solutions', 'THE BioTek', 'Smolecule', 'Sinfoo Biotech']"
Cc1cccc(-c2cc3ccccc3[nH]2)c1,"InChI=1S/C15H13N/c1-11-5-4-7-12(9-11)15-10-13-6-2-3-8-14(13)16-15/h2-10,16H,1H3",FDMNCWSEDSYGND-UHFFFAOYSA-N,69742635,"['BLD Pharm', 'Aurora Fine Chemicals LLC', 'A2B Chem', 'Lan Pharmatech', 'labseeker', 'ZINC', 'Smolecule', 'Chemieliva Pharmaceutical Co., Ltd', 'AA BLOCKS', 'BenchChem', 'Bic Biotech']"
Cc1cccc2[nH]c(-c3ccccc3)cc12,"InChI=1S/C15H13N/c1-11-6-5-9-14-13(11)10-15(16-14)12-7-3-2-4-8-12/h2-10,16H,1H3",GBGAYLXUBDCFIL-UHFFFAOYSA-N,11543012,"['Ambeed', 'BLD Pharm', 'Aurora Fine Chemicals LLC', 'BePharm Ltd.', 'OXCHEM CORPORATION', 'A2B Chem', 'Lan Pharmatech', 'labseeker', 'ZINC', 'THE BioTek', 'Hoffman Fine Chemicals', 'Smolecule', 'Day Biochem', 'Chemieliva Pharmaceutical Co., Ltd', 'AA BLOCKS', 'BenchChem', 'Bic Biotech', 'Ambinter']"
