SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,HAS_PYRADINONE,INCHI,INCHI_KEY,CID
COC(=O)c1cc(OC(F)F)c(Cl)cn1,2.123,0,4,4,48.42,21,47.21850000000001,True,False,False,False,237.58900000000003,False,False,False,"InChI=1S/C8H6ClF2NO3/c1-14-7(13)5-2-6(15-8(10)11)4(9)3-12-5/h2-3,8H,1H3",SMMYQKJNKURFHU-UHFFFAOYSA-N,nan
N#Cc1cccnc1O[C@H]1CC[C@H](N)CC1,1.6019799999999995,1,4,3,71.92999999999999,31,59.81140000000003,True,False,False,False,217.2720000000001,False,False,False,"InChI=1S/C12H15N3O/c13-8-9-2-1-7-15-12(9)16-11-5-3-10(14)4-6-11/h1-2,7,10-11H,3-6,14H2/t10-,11-",CZMXMRQHXNJAEN-XYPYZODXSA-N,nan
CCOC(=O)c1cncc([N+](=O)[O-])c1C(F)(F)F,2.1853,0,5,4,82.33,25,51.849900000000005,True,False,False,False,264.1589999999998,False,False,False,"InChI=1S/C9H7F3N2O4/c1-2-18-8(15)5-3-13-4-6(14(16)17)7(5)9(10,11)12/h3-4H,2H2,1H3",LONIDWAPWJXMFE-UHFFFAOYSA-N,nan
CCOC(=O)Cc1cc(OC(F)F)c(Cl)cn1,2.442,0,4,6,48.42,27,56.21600000000002,True,False,False,False,265.6429999999998,False,False,False,"InChI=1S/C10H10ClF2NO3/c1-2-16-9(15)4-6-3-8(17-10(12)13)7(11)5-14-6/h3,5,10H,2,4H2,1H3",NIZHESJLJACAMZ-UHFFFAOYSA-N,nan
COC(=O)Cc1ncc(OC(F)F)cc1Cl,2.0519,0,4,5,48.42,24,51.59900000000002,True,False,False,False,251.61600000000004,False,False,False,"InChI=1S/C9H8ClF2NO3/c1-15-8(14)3-7-6(10)2-5(4-13-7)16-9(11)12/h2,4,9H,3H2,1H3",QYBOELVFIQOWKK-UHFFFAOYSA-N,nan
COC(=O)Cc1cnc(Cl)c([N+](=O)[O-])c1,1.3586999999999998,0,5,4,82.33,22,51.62140000000001,True,False,False,False,230.60700000000008,False,False,False,"InChI=1S/C8H7ClN2O4/c1-15-7(12)3-5-2-6(11(13)14)8(9)10-4-5/h2,4H,3H2,1H3",ZQYPQXIDGUBKAK-UHFFFAOYSA-N,nan
Nc1ccc(N[C@H]2CC[C@H](O)CC2)nc1,1.3792,3,4,4,71.17,32,60.53490000000003,True,False,False,False,207.27700000000013,False,False,False,"InChI=1S/C11H17N3O/c12-8-1-6-11(13-7-8)14-9-2-4-10(15)5-3-9/h1,6-7,9-10,15H,2-5,12H2,(H,13,14)/t9-,10-",PSJLVIOGQMEMPY-MGCOHNPYSA-N,nan
COc1ccc(-c2cc(O)n(-c3ccccn3)n2)cc1,2.6485000000000003,1,5,5,60.17,33,75.01180000000002,True,False,False,False,267.2879999999998,False,False,False,"InChI=1S/C15H13N3O2/c1-20-12-7-5-11(6-8-12)13-10-15(19)18(17-13)14-4-2-3-9-16-14/h2-10,19H,1H3",AQTAEOLQPCGGCC-UHFFFAOYSA-N,nan
FC(F)(F)Oc1cc2ccccc2cn1,3.133400000000001,0,2,1,22.12,21,48.42600000000002,True,False,False,False,213.15800000000004,False,False,False,"InChI=1S/C10H6F3NO/c11-10(12,13)15-9-5-7-3-1-2-4-8(7)6-14-9/h1-6H",OCYSFPOQNGZVMW-UHFFFAOYSA-N,nan
NC(=O)COc1ccc(/C=N/c2cccnc2)cc1,1.6963,1,4,5,77.57000000000001,32,72.62240000000003,True,False,False,False,255.2770000000001,False,False,False,"InChI=1S/C14H13N3O2/c15-14(18)10-19-13-5-3-11(4-6-13)8-17-12-2-1-7-16-9-12/h1-9H,10H2,(H2,15,18)/b17-8+",KKVVURKGJLLOII-CAOOACKPSA-N,nan
