,SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,HAS_PYRADINONE,INCHI,INCHI_KEY,CID,VENDORS
60,Oc1cc(O)c(-c2cccc(Cl)c2)c(Cl)n1,3.4666,2,3,3,53.35,23,63.0226,True,False,False,False,256.088,False,False,False,"InChI=1S/C11H7Cl2NO2/c12-7-3-1-2-6(4-7)10-8(15)5-9(16)14-11(10)13/h1-5H,(H2,14,15,16)",VOANCSPBFKNXOI-UHFFFAOYSA-N,1472031,nan
146,O=C1NN=C(c2ccccc2)C1=CNCc1ccccn1,1.5892,2,4,4,66.38,35,80.2814,True,False,False,False,278.315,False,False,False,"InChI=1S/C16H14N4O/c21-16-14(11-17-10-13-8-4-5-9-18-13)15(19-20-16)12-6-2-1-3-7-12/h1-9,11,17H,10H2,(H,20,21)",AFRZSXIPOQZBKH-UHFFFAOYSA-N,6822089,nan
168,Cc1nnc(NCc2cccnc2)[nH]c1=O,0.48042,2,5,4,83.56,27,58.9534,True,False,False,False,217.232,False,False,False,"InChI=1S/C10H11N5O/c1-7-9(16)13-10(15-14-7)12-6-8-3-2-4-11-5-8/h2-5H,6H2,1H3,(H2,12,13,15,16)",UZNIVPNWUVBMOQ-UHFFFAOYSA-N,731886,nan
274,Cc1nc2nc(N3CCCCC3)[nH]c(=O)c2cc1C(C)O,1.67012,2,5,5,82.11,41,81.5935,True,False,False,False,288.351,False,False,False,"InChI=1S/C15H20N4O2/c1-9-11(10(2)20)8-12-13(16-9)17-15(18-14(12)21)19-6-4-3-5-7-19/h8,10,20H,3-7H2,1-2H3,(H,16,17,18,21)",XLMBMPXUJBPIBB-UHFFFAOYSA-N,66490291,nan
550,Clc1ccc(N/N=C2\C=NN=C2c2ccncc2)cc1,2.9916,1,5,3,62.0,30,81.7757,True,False,False,False,283.722,False,False,False,"InChI=1S/C14H10ClN5/c15-11-1-3-12(4-2-11)18-19-13-9-17-20-14(13)10-5-7-16-8-6-10/h1-9,18H/b19-13+",STLAFMOCJVIZSN-CPNJWEJPSA-N,9636243,nan
893,CCOC(=O)c1cnc(O)c(Br)c1O,1.432,2,5,5,79.65,22,51.2231,True,False,False,False,262.059,False,False,False,"InChI=1S/C8H8BrNO4/c1-2-14-8(13)4-3-10-7(12)5(9)6(4)11/h3H,2H2,1H3,(H2,10,11,12)",HRARPHZHORYBEK-UHFFFAOYSA-N,1236685,nan
956,CCOC(=O)C1=C(C)N/C(=C\c2cccnc2)C1=O,1.4319,1,5,5,68.29,33,69.6897,True,False,False,False,258.277,False,False,False,"InChI=1S/C14H14N2O3/c1-3-19-14(18)12-9(2)16-11(13(12)17)7-10-5-4-6-15-8-10/h4-8,16H,3H2,1-2H3/b11-7-",IEWMACXVWKIKGA-XFFZJAGNSA-N,6175991,nan
1147,FC(F)Oc1cc(C(F)(F)F)ncc1CCl,3.4406,0,2,3,22.12,21,45.428,True,False,False,False,261.577,False,False,False,"InChI=1S/C8H5ClF5NO/c9-2-4-3-15-6(8(12,13)14)1-5(4)16-7(10)11/h1,3,7H,2H2",YSEQWCMJRUCJHY-UHFFFAOYSA-N,131338011,nan
1259,CCC(C#N)(c1ccccc1)c1cc(C)c2ccccc2n1,4.7629,0,2,5,36.68,40,89.606,True,False,False,False,286.378,False,False,False,"InChI=1S/C20H18N2/c1-3-20(14-21,16-9-5-4-6-10-16)19-13-15(2)17-11-7-8-12-18(17)22-19/h4-13H,3H2,1-2H3",HJFQCGKWTYCVNA-UHFFFAOYSA-N,12504031,nan
1468,COC(=O)Cc1cc(N)cc(C#N)n1,0.25098,1,5,4,89.0,23,49.0844,True,False,False,False,191.19,False,False,False,"InChI=1S/C9H9N3O2/c1-14-9(13)4-7-2-6(11)3-8(5-10)12-7/h2-3H,4H2,1H3,(H2,11,12)",WETYEZREWNEHRU-UHFFFAOYSA-N,130777701,nan
