SMILES,INCHI,INCHI_KEY,CID,VENDORS,TCI (Tokyo Chemical Industry)_link,Combi-Blocks_link,Ambeed_link,Sigma-Aldrich_link,Thermo Fisher Scientific_link
CC(=O)CC(=O)c1ccco1,"InChI=1S/C8H8O3/c1-6(9)5-7(10)8-3-2-4-11-8/h2-4H,5H2,1H3",GPYKJDYMMUIUFG-UHFFFAOYSA-N,12168,"['Combi-Blocks', 'Thermo Fisher Scientific']",NONE,https://www.combi-blocks.com/cgi-bin/find.cgi?QF-3258,NONE,NONE,https://www.thermofisher.com/order/catalog/product/410830250
O=C1CCCCC1C(=O)C(F)(F)F,"InChI=1S/C8H9F3O2/c9-8(10,11)7(13)5-3-1-2-4-6(5)12/h5H,1-4H2",YDFLGIXUFCIELL-UHFFFAOYSA-N,238413,['Combi-Blocks'],NONE,https://www.combi-blocks.com/cgi-bin/find.cgi?QB-5829,NONE,NONE,NONE
COc1ccccc1C(=O)CC(C)=O,"InChI=1S/C11H12O3/c1-8(12)7-10(13)9-5-3-4-6-11(9)14-2/h3-6H,7H2,1-2H3",PJLODCSPQGTOTJ-UHFFFAOYSA-N,10465171,['Combi-Blocks'],NONE,https://www.combi-blocks.com/cgi-bin/find.cgi?JH-9351,NONE,NONE,NONE
CC(=O)CC(C)=O,"InChI=1S/C5H8O2/c1-4(6)3-5(2)7/h3H2,1-2H3",YRKCREAYFQTBPV-UHFFFAOYSA-N,31261,"['Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Combi-Blocks', 'Sigma-Aldrich', 'Sigma-Aldrich', 'Sigma-Aldrich', 'Sigma-Aldrich', 'TCI (Tokyo Chemical Industry)']",http://www.tcichemicals.com/eshop/en/us/commodity/P0052/index.html,https://www.combi-blocks.com/cgi-bin/find.cgi?BK-4530,NONE,https://www.sigmaaldrich.com/catalog/product/saj/010740?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,https://www.thermofisher.com/order/catalog/product/129960050
O=C(CC(=O)c1ccccc1)c1ccccc1,"InChI=1S/C15H12O2/c16-14(12-7-3-1-4-8-12)11-15(17)13-9-5-2-6-10-13/h1-10H,11H2",NZZIMKJIVMHWJC-UHFFFAOYSA-N,8433,"['Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'TCI (Tokyo Chemical Industry)', 'Ambeed', 'Sigma-Aldrich']",http://www.tcichemicals.com/eshop/en/us/commodity/D0910/index.html,NONE,https://www.ambeed.com/products/120-46-7.html,https://www.sigmaaldrich.com/catalog/product/aldrich/d33454?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,https://www.thermofisher.com/order/catalog/product/112601000
CC(C)(C)C(=O)CC(=O)C(C)(C)C,"InChI=1S/C11H20O2/c1-10(2,3)8(12)7-9(13)11(4,5)6/h7H2,1-6H3",YRAJNWYBUCUFBD-UHFFFAOYSA-N,70700,"['TCI (Tokyo Chemical Industry)', 'Combi-Blocks', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Sigma-Aldrich', 'Sigma-Aldrich', 'Ambeed']",http://www.tcichemicals.com/eshop/en/us/commodity/D1678/index.html,https://www.combi-blocks.com/cgi-bin/find.cgi?QA-4721,https://www.ambeed.com/products/1118-71-4.html,https://www.sigmaaldrich.com/catalog/product/aldrich/155756?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,https://www.thermofisher.com/order/catalog/product/168320050
O=C(CC(=O)C(F)(F)F)C(F)(F)F,"InChI=1S/C5H2F6O2/c6-4(7,8)2(12)1-3(13)5(9,10)11/h1H2",QAMFBRUWYYMMGJ-UHFFFAOYSA-N,73706,"['Thermo Fisher Scientific', 'Sigma-Aldrich', 'Thermo Fisher Scientific', 'TCI (Tokyo Chemical Industry)', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Ambeed', 'Combi-Blocks']",http://www.tcichemicals.com/eshop/en/us/commodity/H0476/index.html,https://www.combi-blocks.com/cgi-bin/find.cgi?SS-4037,https://www.ambeed.com/products/1522-22-1.html,https://www.sigmaaldrich.com/catalog/product/aldrich/238309?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,https://www.thermofisher.com/order/catalog/product/218530050
CC(=O)C(C)C(C)=O,"InChI=1S/C6H10O2/c1-4(5(2)7)6(3)8/h4H,1-3H3",GSOHKPVFCOWKPU-UHFFFAOYSA-N,69949,"['Thermo Fisher Scientific', 'Ambeed', 'Thermo Fisher Scientific', 'Combi-Blocks', 'TCI (Tokyo Chemical Industry)', 'Sigma-Aldrich']",http://www.tcichemicals.com/eshop/en/us/commodity/M1132/index.html,https://www.combi-blocks.com/cgi-bin/find.cgi?QF-4334,https://www.ambeed.com/products/815-57-6.html,https://www.sigmaaldrich.com/catalog/product/aldrich/282855?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,https://www.thermofisher.com/order/catalog/product/L01135.06
O=C(CC(=O)C(F)(F)F)c1ccccc1,"InChI=1S/C10H7F3O2/c11-10(12,13)9(15)6-8(14)7-4-2-1-3-5-7/h1-5H,6H2",VVXLFFIFNVKFBD-UHFFFAOYSA-N,67589,"['Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'TCI (Tokyo Chemical Industry)', 'Ambeed', 'Sigma-Aldrich', 'Combi-Blocks']",http://www.tcichemicals.com/eshop/en/us/commodity/T0437/index.html,https://www.combi-blocks.com/cgi-bin/find.cgi?QF-9883,https://www.ambeed.com/products/326-06-7.html,https://www.sigmaaldrich.com/catalog/product/aldrich/217042?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,https://www.thermofisher.com/order/catalog/product/202670250
CC(C)(C)C(=O)CC(=O)C(F)(F)F,"InChI=1S/C8H11F3O2/c1-7(2,3)5(12)4-6(13)8(9,10)11/h4H2,1-3H3",BVPKYBMUQDZTJH-UHFFFAOYSA-N,89830,"['Sigma-Aldrich', 'Combi-Blocks', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific']",NONE,https://www.combi-blocks.com/cgi-bin/find.cgi?SS-4212,NONE,https://www.sigmaaldrich.com/catalog/product/aldrich/469548?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,https://www.thermofisher.com/order/catalog/product/A10112.06
CC(=O)C1CCCCC1=O,"InChI=1S/C8H12O2/c1-6(9)7-4-2-3-5-8(7)10/h7H,2-5H2,1H3",OEKATORRSPXJHE-UHFFFAOYSA-N,13400,"['Sigma-Aldrich', 'Ambeed', 'TCI (Tokyo Chemical Industry)', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Combi-Blocks']",http://www.tcichemicals.com/eshop/en/us/commodity/A0881/index.html,https://www.combi-blocks.com/cgi-bin/find.cgi?QB-9475,https://www.ambeed.com/products/874-23-7.html,https://www.sigmaaldrich.com/catalog/product/aldrich/179760?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,https://www.thermofisher.com/order/catalog/product/346190050
Cc1ccccc1C(=O)CC(=O)c1ccccc1C,"InChI=1S/C17H16O2/c1-12-7-3-5-9-14(12)16(18)11-17(19)15-10-6-4-8-13(15)2/h3-10H,11H2,1-2H3",ATKAXTJKEOYCOI-UHFFFAOYSA-N,12176195,"['Ambeed', 'Combi-Blocks']",NONE,https://www.combi-blocks.com/cgi-bin/find.cgi?HG-0178,https://www.ambeed.com/products/847500-51-0.html,NONE,NONE
