SMILES,INCHI,INCHI_KEY,CID,VENDORS
CC(=O)CC(=O)c1ccco1,"InChI=1S/C8H8O3/c1-6(9)5-7(10)8-3-2-4-11-8/h2-4H,5H2,1H3",GPYKJDYMMUIUFG-UHFFFAOYSA-N,12168,"['Biosynth', 'Combi-Blocks', 'Amadis Chemical', 'Alfa Chemistry', 'AbaChemScene', 'CymitQuimica', 'Chemenu Inc.', 'eMolecules', 'AiFChem, an XtalPi Company', 'BOC Sciences', 'Starshine Chemical', 'Hairui Chemical', 'Finetech Industry Limited', 'Yuhao Chemical', 'Key Organics/BIONET', 'ChemoSapiens', 'SynHet - Synthetic Heterocycles', 'AstaTech, Inc.', 'Mcule', 'Matrix Scientific', 'Oakwood Products', 'Molport', 'A2B Chem', 'MuseChem', 'Chem-Space.com Database', 'eNovation Chemicals', 'Angel Pharmatech Ltd.', 'AA BLOCKS', 'Santa Cruz Biotechnology, Inc.', '10X CHEM', 'Pharmacore Co., Limited', 'AKos Consulting & Solutions', 'Alfa Chemistry', 'THE BioTek', 'abcr GmbH', 'TimTec', 'Chemenu Inc.', 'Debye Scientific Co., Ltd', 'Sinfoo Biotech', 'AppChem', 'Accel Scientific', 'RR Scientific', 'Aaron Chemicals LLC', 'Thermo Fisher Scientific', 'Smolecule', 'BenchChem', 'BLD Pharm']"
O=C1CCCCC1C(=O)C(F)(F)F,"InChI=1S/C8H9F3O2/c9-8(10,11)7(13)5-3-1-2-4-6(5)12/h5H,1-4H2",YDFLGIXUFCIELL-UHFFFAOYSA-N,238413,"['SynQuest Laboratories', 'TimTec', 'MolCore', 'J&H Chemical Co.,ltd', 'AppChem', 'abcr GmbH', 'CymitQuimica', '10X CHEM', 'Alfa Chemistry', 'KCS Online', 'AstaTech, Inc.', 'Mcule', 'Enamine', 'AbaChemScene', 'Amfluoro', 'Pi Chemicals', 'Amadis Chemical', 'Achemtek', 'eMolecules', 'Combi-Blocks', 'Hairui Chemical', 'ChemShuttle', 'BOC Sciences', 'AKos Consulting & Solutions', 'Chem-Space.com Database', 'Ambinter', 'Debye Scientific Co., Ltd', 'Vitas-M Laboratory', 'Matrix Scientific', 'A2B Chem', 'Activate Scientific', 'Vitas-M Laboratory', 'Chemenu Inc.', 'Oakwood Products', 'BLD Pharm', 'Smolecule', 'Molport', 'Starshine Chemical', 'eNovation Chemicals', '001Chemical', 'Cooke Chemical Co., Ltd', 'RR Scientific', 'THE BioTek', 'AiFChem, an XtalPi Company', 'Thoreauchem', 'TimTec', 'AA BLOCKS', 'BenchChem', 'MolCore', 'ChemoSapiens']"
COc1ccccc1C(=O)CC(C)=O,"InChI=1S/C11H12O3/c1-8(12)7-10(13)9-5-3-4-6-11(9)14-2/h3-6H,7H2,1-2H3",PJLODCSPQGTOTJ-UHFFFAOYSA-N,10465171,"['Activate Scientific', 'AbaChemScene', '10X CHEM', 'Key Organics/BIONET', 'Hairui Chemical', 'Chem-Space.com Database', 'Chem-Space.com Database', 'Combi-Blocks', 'Molport', 'THE BioTek', 'BOC Sciences', 'eMolecules', 'AA BLOCKS', 'Vitas-M Laboratory', 'RR Scientific', 'J&H Chemical Co.,ltd', 'Mcule', 'Smolecule', 'A2B Chem', 'Enamine', 'Vitas-M Laboratory', 'Biosynth', 'Alfa Chemistry', 'SynHet - Synthetic Heterocycles', 'ChemoSapiens', 'Starshine Chemical', 'Debye Scientific Co., Ltd', 'AKos Consulting & Solutions', 'Alfa Chemistry', 'CymitQuimica', 'AppChem', 'BenchChem', 'Synblock Inc', 'eNovation Chemicals', 'BLD Pharm', 'Chemenu Inc.']"
CC(=O)CC(C)=O,"InChI=1S/C5H8O2/c1-4(6)3-5(2)7/h3H2,1-2H3",YRKCREAYFQTBPV-UHFFFAOYSA-N,31261,"['Oakwood Products', 'VladaChem', 'Debye Scientific Co., Ltd', 'VladaChem', 'VladaChem', 'VladaChem', 'LGC Standards', 'Debye Scientific Co., Ltd', 'Debye Scientific Co., Ltd', 'Key Organics/BIONET', 'ChemoSapiens', 'Life Chemicals', 'Smolecule', 'Achemtek', 'Achemtek', 'Win-Win Chemical', 'Chem-Space.com Database', 'Chem-Space.com Database', 'Enamine', 'Chem-Impex', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'THE BioTek', 'Hairui Chemical', 'Hairui Chemical', 'J&H Chemical Co.,ltd', 'J&H Chemical Co.,ltd', 'Starshine Chemical', 'Sinfoo Biotech', 'RR Scientific', 'RR Scientific', 'RR Scientific', 'RR Scientific', '1st Scientific', 'SynHet - Synthetic Heterocycles', 'BOC Sciences', 'BOC Sciences', 'AppChem', 'Glentham Life Sciences Ltd.', 'Aladdin Scientific', 'Aladdin Scientific', 'Aladdin Scientific', 'Aladdin Scientific', 'BenchChem', 'AA BLOCKS', 'Mcule', 'A2B Chem', 'Alfa Chemistry', 'Alfa Chemistry', 'Alfa Chemistry', 'Alfa Chemistry', 'Alfa Chemistry', 'BioChemPartner', 'Amadis Chemical', 'OtavaChemicals', '10X CHEM', 'CATO Research Chemicals Inc.', 'Finetech Industry Limited', 'Combi-Blocks', 'MolCore', 'Santa Cruz Biotechnology, Inc.', 'Sigma-Aldrich', 'Sigma-Aldrich', 'Sigma-Aldrich', 'Sigma-Aldrich', 'CymitQuimica', 'MuseChem', 'TCI (Tokyo Chemical Industry)', '001Chemical', 'SynQuest Laboratories', 'Biosynth', 'AKos Consulting & Solutions', 'abcr GmbH', 'BroadPharm', 'Yuhao Chemical', 'eMolecules', 'Matrix Scientific', 'Thoreauchem', 'Molport', 'TimTec', 'TimTec']"
O=C(CC(=O)c1ccccc1)c1ccccc1,"InChI=1S/C15H12O2/c16-14(12-7-3-1-4-8-12)11-15(17)13-9-5-2-6-10-13/h1-10H,11H2",NZZIMKJIVMHWJC-UHFFFAOYSA-N,8433,"['Amadis Chemical', 'Accel Scientific', 'Finetech Industry Limited', 'RR Scientific', 'J&H Chemical Co.,ltd', 'Thermo Fisher Scientific', 'Molport', '1st Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'A2B Chem', 'AstaTech, Inc.', 'Moldb', 'VladaChem', 'LGC Standards', 'LGC Standards', 'LGC Standards', 'LGC Standards', 'Alfa Chemistry', 'Alfa Chemistry', 'Oakwood Products', 'Sinfoo Biotech', 'THE BioTek', 'Win-Win Chemical', 'MuseChem', 'Glixx Labs Inc', 'Glentham Life Sciences Ltd.', 'Matrix Scientific', 'MedChemexpress MCE', 'BenchChem', 'Hangzhou APIChem Technology', 'MolCore', 'MolCore', 'DC Chemicals', 'Chem-Impex', 'TimTec', 'eMolecules', 'Chemenu Inc.', 'Biorbyt', 'Aladdin Scientific', 'Chem-Space.com Database', 'AKos Consulting & Solutions', 'Smolecule', 'CymitQuimica', 'Mcule', 'Thoreauchem', 'Aaron Chemicals LLC', 'Acmec Biochemical', 'Synthonix, Inc.', 'AA BLOCKS', 'abcr GmbH', 'AppChem', 'BOC Sciences', 'BOC Sciences', 'TCI (Tokyo Chemical Industry)', 'AbaChemScene', 'eNovation Chemicals', 'Innovapharm', 'ChemoSapiens', '10X CHEM', 'BLD Pharm', 'Achemtek', 'Debye Scientific Co., Ltd', 'Key Organics/BIONET', 'Accela ChemBio Inc.', 'SynHet - Synthetic Heterocycles', 'Cooke Chemical Co., Ltd', 'Enamine', 'Enamine', 'Ambeed', 'OtavaChemicals', 'Life Chemicals', 'Hairui Chemical', 'Sigma-Aldrich', '001Chemical', 'InvivoChem', 'Santa Cruz Biotechnology, Inc.', 'Vitas-M Laboratory', 'Aribo Reagent', 'Allbio Pharm Co., Ltd']"
CC(C)(C)C(=O)CC(=O)C(C)(C)C,"InChI=1S/C11H20O2/c1-10(2,3)8(12)7-9(13)11(4,5)6/h7H2,1-6H3",YRAJNWYBUCUFBD-UHFFFAOYSA-N,70700,"['TCI (Tokyo Chemical Industry)', 'VladaChem', 'VladaChem', 'MedChemexpress MCE', 'LGC Standards', 'Alfa Chemistry', 'LGC Standards', 'LGC Standards', 'LGC Standards', 'Alfa Chemistry', 'Alfa Chemistry', 'Alfa Chemistry', 'Alfa Chemistry', 'BroadPharm', 'abcr GmbH', 'abcr GmbH', 'eMolecules', 'Achemtek', 'Aaron Chemicals LLC', 'Combi-Blocks', 'TimTec', 'AbaChemScene', 'AstaTech, Inc.', 'Santa Cruz Biotechnology, Inc.', 'MuseChem', 'BLD Pharm', 'Enamine', 'Accel Scientific', 'Cooke Chemical Co., Ltd', 'Pi Chemicals', 'A2B Chem', 'MolCore', 'MolCore', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Matrix Scientific', 'Sinfoo Biotech', 'Clearsynth', 'Molport', 'BenchChem', 'ChemShuttle', 'Sigma-Aldrich', 'Sigma-Aldrich', 'Yuhao Chemical', 'AA BLOCKS', 'Chem-Space.com Database', 'Thoreauchem', '001Chemical', 'Amadis Chemical', 'Win-Win Chemical', 'CAPOT', 'AKos Consulting & Solutions', 'InvivoChem', 'Glentham Life Sciences Ltd.', 'CymitQuimica', 'Aribo Reagent', 'Ambinter', 'J&H Chemical Co.,ltd', 'THE BioTek', 'BOC Sciences', 'BOC Sciences', 'Key Organics/BIONET', 'Debye Scientific Co., Ltd', 'Finetech Industry Limited', '10X CHEM', 'Accela ChemBio Inc.', 'eNovation Chemicals', 'Smolecule', 'SynQuest Laboratories', 'RR Scientific', 'Biosynth', 'Starshine Chemical', 'Oakwood Products', '1st Scientific', 'Ambeed', 'Hangzhou APIChem Technology', 'Synthonix, Inc.', 'Mcule', 'Hairui Chemical', 'AppChem', 'ChemoSapiens', 'Activate Scientific', 'Chemenu Inc.', 'SynHet - Synthetic Heterocycles', 'BioChemPartner', 'Strem Chemicals, Inc.']"
O=C(CC(=O)C(F)(F)F)C(F)(F)F,"InChI=1S/C5H2F6O2/c6-4(7,8)2(12)1-3(13)5(9,10)11/h1H2",QAMFBRUWYYMMGJ-UHFFFAOYSA-N,73706,"['Chemenu Inc.', 'BOC Sciences', 'Cooke Chemical Co., Ltd', 'J&H Chemical Co.,ltd', 'MolCore', 'Strem Chemicals, Inc.', 'MolCore', 'Finetech Industry Limited', 'Synthonix, Inc.', 'Win-Win Chemical', 'AiFChem, an XtalPi Company', 'Starshine Chemical', 'ChemoSapiens', 'BenchChem', 'Thoreauchem', 'Chem-Impex', 'AKos Consulting & Solutions', 'VladaChem', 'CymitQuimica', 'Sinfoo Biotech', 'VladaChem', 'Life Chemicals', 'Mcule', 'VladaChem', 'Moldb', 'Chem-Space.com Database', 'Hunan Chemfish Pharmaceutical Co., Ltd.', 'Vitas-M Laboratory', 'Chem-Space.com Database', 'eMolecules', 'SynHet - Synthetic Heterocycles', 'Thermo Fisher Scientific', 'Sigma-Aldrich', '001Chemical', 'Thermo Fisher Scientific', 'Smolecule', 'TCI (Tokyo Chemical Industry)', 'SynQuest Laboratories', 'Alfa Chemistry', 'Oakwood Products', 'Thermo Fisher Scientific', 'Alfa Chemistry', 'Matrix Scientific', 'Thermo Fisher Scientific', 'Pharmacore Co., Limited', 'Santa Cruz Biotechnology, Inc.', 'Thermo Fisher Scientific', 'Pi Chemicals', 'Ambinter', 'Thermo Fisher Scientific', 'Ambeed', 'Amadis Chemical', 'Aladdin Scientific', 'Achemtek', 'AA BLOCKS', 'abcr GmbH', 'ChemShuttle', 'Acmec Biochemical', 'ChemFish Tokyo Co., Ltd.', 'Aaron Chemicals LLC', 'THE BioTek', 'Enamine', 'KCS Online', 'A2B Chem', 'Key Organics/BIONET', 'Combi-Blocks', 'AstaTech, Inc.', 'BLD Pharm', 'CAPOT', 'MuseChem', 'TimTec', 'Molport', 'TimTec', 'RR Scientific', 'AbaChemScene', 'Yuhao Chemical']"
CC(=O)C(C)C(C)=O,"InChI=1S/C6H10O2/c1-4(5(2)7)6(3)8/h4H,1-3H3",GSOHKPVFCOWKPU-UHFFFAOYSA-N,69949,"['Matrix Scientific', 'Accel Scientific', '10X CHEM', 'Chem-Space.com Database', 'J&H Chemical Co.,ltd', 'Ambinter', 'Hairui Chemical', 'Sinfoo Biotech', 'Thermo Fisher Scientific', 'Ambeed', 'Thermo Fisher Scientific', 'eMolecules', 'Biosynth', 'RR Scientific', 'Pi Chemicals', 'Finetech Industry Limited', 'Achemtek', 'Alfa Chemistry', 'Win-Win Chemical', 'Alfa Chemistry', 'MolCore', 'Combi-Blocks', 'MolCore', 'Accela ChemBio Inc.', 'AKos Consulting & Solutions', 'A2B Chem', 'BOC Sciences', 'TCI (Tokyo Chemical Industry)', 'CymitQuimica', 'AA BLOCKS', 'Amadis Chemical', 'Mcule', '001Chemical', 'THE BioTek', 'Yuhao Chemical', 'Enamine', 'AbaChemScene', 'Enamine', 'BenchChem', 'Smolecule', 'Hunan Chemfish Pharmaceutical Co., Ltd.', 'Oakwood Products', 'Chemenu Inc.', 'Acmec Biochemical', 'Activate Scientific', 'AstaTech, Inc.', 'Starshine Chemical', 'ChemoSapiens', 'Sigma-Aldrich', 'Aaron Chemicals LLC', 'Life Chemicals', 'Vitas-M Laboratory', 'abcr GmbH', 'eNovation Chemicals', 'ChemFish Tokyo Co., Ltd.', 'Aladdin Scientific', 'Molport', 'ChemFish Tokyo Co., Ltd.', 'SynHet - Synthetic Heterocycles', 'Santa Cruz Biotechnology, Inc.', 'AppChem', 'Cooke Chemical Co., Ltd', 'BLD Pharm']"
O=C(CC(=O)C(F)(F)F)c1ccccc1,"InChI=1S/C10H7F3O2/c11-10(12,13)9(15)6-8(14)7-4-2-1-3-5-7/h1-5H,6H2",VVXLFFIFNVKFBD-UHFFFAOYSA-N,67589,"['001Chemical', '001Chemical', 'TimTec', 'TimTec', 'Santa Cruz Biotechnology, Inc.', 'BOC Sciences', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'AstaTech, Inc.', 'CATO Research Chemicals Inc.', 'Alfa Chemistry', 'THE BioTek', 'Hunan Chemfish Pharmaceutical Co., Ltd.', 'AppChem', 'Key Organics/BIONET', 'Achemtek', '10X CHEM', 'ChemFish Tokyo Co., Ltd.', 'Thoreauchem', 'CymitQuimica', 'BLD Pharm', 'RR Scientific', 'Mcule', 'Vitas-M Laboratory', 'Vitas-M Laboratory', 'Moldb', 'Accel Scientific', 'Life Chemicals', 'eNovation Chemicals', 'Smolecule', 'Accela ChemBio Inc.', 'TCI (Tokyo Chemical Industry)', 'Activate Scientific', 'Chem-Space.com Database', 'Chem-Space.com Database', 'Halochem', 'SynQuest Laboratories', 'Hairui Chemical', 'AbaChemScene', 'KCS Online', 'ChemDiv', 'Amfluoro', 'Pi Chemicals', 'MolCore', 'MolCore', 'SynHet - Synthetic Heterocycles', 'MuseChem', 'ChemoSapiens', 'Debye Scientific Co., Ltd', 'Sinfoo Biotech', 'Ambeed', 'Yuhao Chemical', 'Matrix Scientific', 'VladaChem', 'VladaChem', 'Sigma-Aldrich', 'Molport', 'CAPOT', 'ChemShuttle', 'Finetech Industry Limited', 'AA BLOCKS', 'Cooke Chemical Co., Ltd', 'Amadis Chemical', 'Ambinter', 'BenchChem', 'Strem Chemicals, Inc.', 'Aaron Chemicals LLC', 'Cangzhou Enke Pharma Tech Co.,Ltd.', 'AKos Consulting & Solutions', 'eMolecules', 'A2B Chem', 'Chemenu Inc.', 'Aladdin Scientific', 'abcr GmbH', 'Combi-Blocks', 'Oakwood Products', 'J&H Chemical Co.,ltd', 'Win-Win Chemical', 'Chem-Impex', 'Enamine']"
CC(C)(C)C(=O)CC(=O)C(F)(F)F,"InChI=1S/C8H11F3O2/c1-7(2,3)5(12)4-6(13)8(9,10)11/h4H2,1-3H3",BVPKYBMUQDZTJH-UHFFFAOYSA-N,89830,"['Hunan Chemfish Pharmaceutical Co., Ltd.', 'J&H Chemical Co.,ltd', 'Chem-Space.com Database', 'Amfluoro', 'Santa Cruz Biotechnology, Inc.', 'eMolecules', 'MolCore', 'Halochem', 'MolCore', 'Ambinter', 'Matrix Scientific', 'Molport', 'ChemoSapiens', 'abcr GmbH', 'CymitQuimica', 'AstaTech, Inc.', 'Alinda Chemical Trade Company Ltd', 'VladaChem', 'Accela ChemBio Inc.', 'RR Scientific', 'A2B Chem', 'Mcule', 'Cooke Chemical Co., Ltd', 'Win-Win Chemical', 'BenchChem', 'Sigma-Aldrich', 'Aaron Chemicals LLC', 'Chemodex Ltd.', 'Vitas-M Laboratory', 'Activate Scientific', 'AppChem', 'DSL Chemicals', 'Smolecule', 'Combi-Blocks', 'BLD Pharm', 'Hairui Chemical', 'Enamine', 'THE BioTek', 'BOC Sciences', 'Glentham Life Sciences Ltd.', 'AA BLOCKS', '001Chemical', 'Starshine Chemical', 'eNovation Chemicals', 'ChemFish Tokyo Co., Ltd.', 'TimTec', 'KCS Online', 'TimTec', '10X CHEM', 'CAPOT', 'Thermo Fisher Scientific', 'Finetech Industry Limited', 'Thermo Fisher Scientific', 'Amadis Chemical', 'Aladdin Scientific', 'Alfa Chemistry', 'Accel Scientific', 'Alfa Chemistry', 'SynHet - Synthetic Heterocycles', 'Oakwood Products', 'AKos Consulting & Solutions']"
